date,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),news
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,World War III has already begun
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,NTPC Green Energy IPO GMP Today
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,'Come home with me': Tiny robot has emotional conversation with 12 bigger robots before 'kidnapping' them
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Best aggressive hybrid mutual funds
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,UP Police Constable Result 2024 Sarkari Result
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Bank Holidays in Uttar Pradesh
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Bajaj Housing Finance Share Price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Delhi CM Announcement Live Updates
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Namo Bharat Rapid Rail Launched
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Aditi Rao Hydari Wedding Pics
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Reliance Power share price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Tata Technologies share price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Adani Enterprises share price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Bank of Baroda share price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,IDFC First Bank share price
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Standard Deviation Calculator
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,IPL Mega Auction 2025: Harshal Patel expected to attract high bids
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Adani Bribery Case: Here are 5 setbacks that followed post indictment
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Travellers on Schengen visas can add two more countries to their Europe itinerary from 2025
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Elon Musk's ex GF Grimes says she is going bankrupt after split with world's richest man
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"Palghar Election Results: Jayendra Kisan Dubla vs Gavit Rajendra Dhedya, who is winning?"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,Nvidia CEO Jensen Huang says 'the age of AI has started'
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,This change in GST annual return if not checked properly can result in input tax credit mismatch
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"Don't want to interfere, regulatory board will ensure good governance: Sports Min Mandaviya on IOA concerns"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"At COP29, climate progress takes one step forward, two steps back"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"Cocoa, green tea act as counter to effects of high-fat food under stress, reveals study"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,As long as there are EVMs...: Congress cries foul play amid Mahayuti's lead in Maharashtra
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,HR asks candidate her marriage plans during interview; scandalised netizens demand ban of ‘outdated questions’
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"Maharashtra election 2024: Kuch toh gadbad hain, Sanjay Raut rejects early trends, says Adani is 'Ladli bhai of BJP'"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,"As threat of Trump tariffs looms, Europe's leaders seek greater unity"
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,A lesson from Poland: Reversing populist policies is tough
2022-04-11,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54,subscribe to our newsletter
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Greatest bubble in human history about to burst? USA's $34 trillion debt to trigger a recession, stocks may lose over half their value in a sell-off, says Mark Spitznagel"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Gautam Adani is facing the biggest trial of his life
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Virat Kohli's post gives fans a scare; speculations of divorce with Anushka Sharma, retirement surface"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Kalpataru Advay—Borivali gets an Illustrious residential landmark
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Education qualifications of Keerthy Suresh's husband-to-be Antony Thattil. His business ventures and their love story
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,IPL 2025 to kick off in March
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,World War III has already begun
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,NTPC Green Energy IPO GMP Today
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,'Come home with me': Tiny robot has emotional conversation with 12 bigger robots before 'kidnapping' them
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Best aggressive hybrid mutual funds
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,UP Police Constable Result 2024 Sarkari Result
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Bank Holidays in Uttar Pradesh
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Bajaj Housing Finance Share Price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Delhi CM Announcement Live Updates
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Namo Bharat Rapid Rail Launched
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Aditi Rao Hydari Wedding Pics
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Reliance Power share price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Tata Technologies share price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Adani Enterprises share price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Bank of Baroda share price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,IDFC First Bank share price
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Standard Deviation Calculator
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,IPL Mega Auction 2025: Harshal Patel expected to attract high bids
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Adani Bribery Case: Here are 5 setbacks that followed post indictment
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Travellers on Schengen visas can add two more countries to their Europe itinerary from 2025
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Elon Musk's ex GF Grimes says she is going bankrupt after split with world's richest man
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Palghar Election Results: Jayendra Kisan Dubla vs Gavit Rajendra Dhedya, who is winning?"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,Nvidia CEO Jensen Huang says 'the age of AI has started'
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,This change in GST annual return if not checked properly can result in input tax credit mismatch
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Don't want to interfere, regulatory board will ensure good governance: Sports Min Mandaviya on IOA concerns"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"At COP29, climate progress takes one step forward, two steps back"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Cocoa, green tea act as counter to effects of high-fat food under stress, reveals study"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,As long as there are EVMs...: Congress cries foul play amid Mahayuti's lead in Maharashtra
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,HR asks candidate her marriage plans during interview; scandalised netizens demand ban of ‘outdated questions’
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"Maharashtra election 2024: Kuch toh gadbad hain, Sanjay Raut rejects early trends, says Adani is 'Ladli bhai of BJP'"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,"As threat of Trump tariffs looms, Europe's leaders seek greater unity"
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,A lesson from Poland: Reversing populist policies is tough
2022-07-11,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84,subscribe to our newsletter
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Greatest bubble in human history about to burst? USA's $34 trillion debt to trigger a recession, stocks may lose over half their value in a sell-off, says Mark Spitznagel"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Gautam Adani is facing the biggest trial of his life
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Virat Kohli's post gives fans a scare; speculations of divorce with Anushka Sharma, retirement surface"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Kalpataru Advay—Borivali gets an Illustrious residential landmark
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Education qualifications of Keerthy Suresh's husband-to-be Antony Thattil. His business ventures and their love story
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,IPL 2025 to kick off in March
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,World War III has already begun
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,NTPC Green Energy IPO GMP Today
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,'Come home with me': Tiny robot has emotional conversation with 12 bigger robots before 'kidnapping' them
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Best aggressive hybrid mutual funds
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,UP Police Constable Result 2024 Sarkari Result
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Bank Holidays in Uttar Pradesh
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Bajaj Housing Finance Share Price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Delhi CM Announcement Live Updates
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Namo Bharat Rapid Rail Launched
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Aditi Rao Hydari Wedding Pics
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Reliance Power share price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Tata Technologies share price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Adani Enterprises share price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Bank of Baroda share price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,IDFC First Bank share price
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Standard Deviation Calculator
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,IPL Mega Auction 2025: Harshal Patel expected to attract high bids
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Adani Bribery Case: Here are 5 setbacks that followed post indictment
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Travellers on Schengen visas can add two more countries to their Europe itinerary from 2025
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Elon Musk's ex GF Grimes says she is going bankrupt after split with world's richest man
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Palghar Election Results: Jayendra Kisan Dubla vs Gavit Rajendra Dhedya, who is winning?"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,Nvidia CEO Jensen Huang says 'the age of AI has started'
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,This change in GST annual return if not checked properly can result in input tax credit mismatch
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Don't want to interfere, regulatory board will ensure good governance: Sports Min Mandaviya on IOA concerns"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"At COP29, climate progress takes one step forward, two steps back"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Cocoa, green tea act as counter to effects of high-fat food under stress, reveals study"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,As long as there are EVMs...: Congress cries foul play amid Mahayuti's lead in Maharashtra
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,HR asks candidate her marriage plans during interview; scandalised netizens demand ban of ‘outdated questions’
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"Maharashtra election 2024: Kuch toh gadbad hain, Sanjay Raut rejects early trends, says Adani is 'Ladli bhai of BJP'"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,"As threat of Trump tariffs looms, Europe's leaders seek greater unity"
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,A lesson from Poland: Reversing populist policies is tough
2022-09-11,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58,subscribe to our newsletter
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Greatest bubble in human history about to burst? USA's $34 trillion debt to trigger a recession, stocks may lose over half their value in a sell-off, says Mark Spitznagel"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Gautam Adani is facing the biggest trial of his life
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Virat Kohli's post gives fans a scare; speculations of divorce with Anushka Sharma, retirement surface"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Kalpataru Advay—Borivali gets an Illustrious residential landmark
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Education qualifications of Keerthy Suresh's husband-to-be Antony Thattil. His business ventures and their love story
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,IPL 2025 to kick off in March
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,World War III has already begun
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,NTPC Green Energy IPO GMP Today
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,'Come home with me': Tiny robot has emotional conversation with 12 bigger robots before 'kidnapping' them
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Best aggressive hybrid mutual funds
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,UP Police Constable Result 2024 Sarkari Result
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Bank Holidays in Uttar Pradesh
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Bajaj Housing Finance Share Price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Delhi CM Announcement Live Updates
